code_commune,num_bdv,code_circ_full,code_circ,nom_commune
95002,1,9501,01,Ableiges
95002,2,9501,01,Ableiges
95008,1,9501,01,Aincourt
95011,1,9501,01,Ambleville
95012,1,9501,01,Amenucourt
95014,1,9506,06,Andilly
95014,2,9506,06,Andilly
95018,1,9505,05,Argenteuil
95018,10,9505,05,Argenteuil
95018,11,9505,05,Argenteuil
95018,12,9505,05,Argenteuil
95018,13,9505,05,Argenteuil
95018,14,9505,05,Argenteuil
95018,15,9505,05,Argenteuil
95018,16,9505,05,Argenteuil
95018,17,9505,05,Argenteuil
95018,18,9505,05,Argenteuil
95018,19,9505,05,Argenteuil
95018,2,9505,05,Argenteuil
95018,20,9505,05,Argenteuil
95018,21,9505,05,Argenteuil
95018,22,9505,05,Argenteuil
95018,23,9505,05,Argenteuil
95018,24,9505,05,Argenteuil
95018,25,9505,05,Argenteuil
95018,26,9505,05,Argenteuil
95018,27,9505,05,Argenteuil
95018,28,9505,05,Argenteuil
95018,29,9505,05,Argenteuil
95018,3,9505,05,Argenteuil
95018,30,9505,05,Argenteuil
95018,31,9505,05,Argenteuil
95018,32,9505,05,Argenteuil
95018,33,9505,05,Argenteuil
95018,34,9505,05,Argenteuil
95018,35,9505,05,Argenteuil
95018,36,9505,05,Argenteuil
95018,37,9505,05,Argenteuil
95018,38,9505,05,Argenteuil
95018,39,9505,05,Argenteuil
95018,4,9505,05,Argenteuil
95018,40,9505,05,Argenteuil
95018,41,9505,05,Argenteuil
95018,42,9505,05,Argenteuil
95018,43,9505,05,Argenteuil
95018,44,9505,05,Argenteuil
95018,45,9505,05,Argenteuil
95018,46,9505,05,Argenteuil
95018,47,9505,05,Argenteuil
95018,48,9505,05,Argenteuil
95018,49,9505,05,Argenteuil
95018,5,9505,05,Argenteuil
95018,50,9505,05,Argenteuil
95018,6,9505,05,Argenteuil
95018,7,9505,05,Argenteuil
95018,8,9505,05,Argenteuil
95018,9,9505,05,Argenteuil
95019,1,9508,08,Arnouville
95019,2,9508,08,Arnouville
95019,3,9508,08,Arnouville
95019,4,9508,08,Arnouville
95019,5,9508,08,Arnouville
95019,6,9508,08,Arnouville
95019,7,9508,08,Arnouville
95023,1,9501,01,Arronville
95024,1,9501,01,Arthies
95026,1,9502,02,Asnières-sur-Oise
95026,2,9502,02,Asnières-sur-Oise
95026,3,9502,02,Asnières-sur-Oise
95028,1,9507,07,Attainville
95039,1,9501,01,Auvers-sur-Oise
95039,2,9501,01,Auvers-sur-Oise
95039,3,9501,01,Auvers-sur-Oise
95039,4,9501,01,Auvers-sur-Oise
95039,5,9501,01,Auvers-sur-Oise
95039,6,9501,01,Auvers-sur-Oise
95040,1,9501,01,Avernes
95042,1,9502,02,Baillet-en-France
95046,1,9501,01,Banthelu
95051,1,9503,03,Beauchamp
95051,2,9503,03,Beauchamp
95051,3,9503,03,Beauchamp
95051,4,9503,03,Beauchamp
95051,5,9503,03,Beauchamp
95051,6,9503,03,Beauchamp
95051,7,9503,03,Beauchamp
95051,8,9503,03,Beauchamp
95052,1,9501,01,Beaumont-sur-Oise
95052,2,9501,01,Beaumont-sur-Oise
95052,3,9501,01,Beaumont-sur-Oise
95052,4,9501,01,Beaumont-sur-Oise
95052,5,9501,01,Beaumont-sur-Oise
95054,1,9501,01,Le Bellay-en-Vexin
95055,1,9509,09,Bellefontaine
95056,1,9502,02,Belloy-en-France
95058,1,9501,01,Bernes-sur-Oise
95058,2,9501,01,Bernes-sur-Oise
95059,1,9501,01,Berville
95060,1,9503,03,Bessancourt
95060,2,9503,03,Bessancourt
95060,3,9503,03,Bessancourt
95060,4,9503,03,Bessancourt
95060,5,9503,03,Bessancourt
95060,6,9503,03,Bessancourt
95061,1,9503,03,Béthemont-la-Forêt
95063,1,9505,05,Bezons
95063,10,9505,05,Bezons
95063,11,9505,05,Bezons
95063,12,9505,05,Bezons
95063,13,9505,05,Bezons
95063,14,9505,05,Bezons
95063,15,9505,05,Bezons
95063,16,9505,05,Bezons
95063,17,9505,05,Bezons
95063,2,9505,05,Bezons
95063,3,9505,05,Bezons
95063,4,9505,05,Bezons
95063,5,9505,05,Bezons
95063,6,9505,05,Bezons
95063,7,9505,05,Bezons
95063,8,9505,05,Bezons
95063,9,9505,05,Bezons
95074,1,9510,10,Boisemont
95078,1,9510,10,Boissy-l'Aillerie
95088,1,9508,08,Bonneuil-en-France
95091,1,9507,07,Bouffémont
95091,2,9507,07,Bouffémont
95091,3,9507,07,Bouffémont
95091,4,9507,07,Bouffémont
95091,5,9507,07,Bouffémont
95094,1,9509,09,Bouqueval
95101,1,9501,01,Bray-et-Lû
95102,1,9501,01,Bréançon
95110,1,9501,01,Brignancourt
95116,1,9501,01,Bruyères-sur-Oise
95116,2,9501,01,Bruyères-sur-Oise
95116,3,9501,01,Bruyères-sur-Oise
95119,1,9501,01,Buhy
95120,1,9501,01,Butry-sur-Oise
95120,2,9501,01,Butry-sur-Oise
95127,1,9510,10,Cergy
95127,10,9510,10,Cergy
95127,11,9510,10,Cergy
95127,12,9510,10,Cergy
95127,13,9510,10,Cergy
95127,14,9510,10,Cergy
95127,15,9510,10,Cergy
95127,16,9510,10,Cergy
95127,17,9510,10,Cergy
95127,18,9502,02,Cergy
95127,19,9502,02,Cergy
95127,2,9510,10,Cergy
95127,20,9502,02,Cergy
95127,21,9502,02,Cergy
95127,22,9502,02,Cergy
95127,23,9502,02,Cergy
95127,24,9502,02,Cergy
95127,25,9502,02,Cergy
95127,26,9502,02,Cergy
95127,27,9502,02,Cergy
95127,28,9510,10,Cergy
95127,29,9510,10,Cergy
95127,3,9510,10,Cergy
95127,30,9510,10,Cergy
95127,31,9502,02,Cergy
95127,32,9510,10,Cergy
95127,33,9510,10,Cergy
95127,34,9510,10,Cergy
95127,35,9510,10,Cergy
95127,4,9510,10,Cergy
95127,5,9510,10,Cergy
95127,6,9510,10,Cergy
95127,7,9510,10,Cergy
95127,8,9510,10,Cergy
95127,9,9510,10,Cergy
95134,1,9501,01,Champagne-sur-Oise
95134,2,9501,01,Champagne-sur-Oise
95134,3,9501,01,Champagne-sur-Oise
95134,4,9501,01,Champagne-sur-Oise
